,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind
0,Kingaroy,48,AU,1541828453,42,-26.54,151.84,25.17,4.31
1,Porto Novo,75,BR,1541826000,100,-23.68,-45.44,18.0,1.0
2,Durango,1,US,1541825580,41,37.28,-107.88,-5.6,1.26
3,Busselton,0,AU,1541828454,68,-33.64,115.35,24.52,6.83
4,Atuona,0,PF,1541828454,100,-9.8,-139.03,26.85,4.26
5,Senador Jose Porfirio,56,BR,1541828455,73,-2.59,-51.95,28.4,2.73
6,Rabo de Peixe,20,PT,1541826000,88,37.8,-25.58,19.0,8.7
7,Cidreira,0,BR,1541828455,83,-30.17,-50.22,19.77,4.71
8,Ketchikan,90,US,1541825760,86,55.34,-131.65,8.3,5.1
9,Leh,80,IN,1541828456,87,34.16,77.58,-13.16,0.66
10,Noumea,75,NC,1541826000,46,-22.28,166.46,32.0,6.2
11,Benjamin Constant,75,BR,1541826000,100,-4.38,-70.03,25.0,3.1
12,Gat,0,SN,1541827867,69,14.69,-16.54,22.52,4.13
13,Kruisfontein,36,ZA,1541828457,77,-34.0,24.73,18.32,1.48
14,Puerto Ayora,68,EC,1541828338,100,-0.74,-90.35,21.67,4.58
15,Esperance,20,TT,1541826000,94,10.24,-61.45,25.0,2.16
16,Idah,32,NG,1541828458,97,7.11,6.73,23.85,2.28
17,Zhigansk,92,RU,1541828458,68,66.77,123.37,-8.83,7.08
18,Soria,12,ES,1541828458,82,41.76,-2.46,8.97,5.73
19,Saskylakh,88,RU,1541828459,74,71.97,114.09,-19.41,3.06
20,San Patricio,0,PY,1541828459,73,-26.98,-56.83,22.27,2.41
21,Cape Town,0,ZA,1541826000,72,-33.93,18.42,17.0,6.7
22,Dikson,48,RU,1541828459,100,73.51,80.55,-10.03,2.13
23,Harper,90,US,1541826900,55,30.3,-99.24,9.4,4.1
24,Husavik,8,CA,1541828460,100,50.56,-96.99,-11.98,3.81
25,Namibe,12,AO,1541828460,100,-15.19,12.15,22.07,2.26
26,Zyryanka,0,RU,1541828461,71,65.73,150.89,-26.53,2.48
27,West Bay,12,GB,1541825400,93,50.71,-2.76,7.0,1.0
28,Atar,32,MR,1541828461,83,20.52,-13.05,15.82,1.78
29,East London,0,ZA,1541826720,64,-33.02,27.91,20.0,3.6
30,Vaini,0,IN,1541828462,36,15.34,74.49,32.9,2.36
31,Bluff,0,AU,1541828462,24,-23.58,149.07,32.17,4.03
32,Udachnyy,88,RU,1541828462,86,66.42,112.4,-2.61,2.96
33,Aklavik,90,CA,1541826000,85,68.22,-135.01,-8.0,2.1
34,Severo-Kurilsk,64,RU,1541828463,100,50.68,156.12,2.9,1.93
35,Ostrovnoy,0,RU,1541828463,89,68.05,39.51,-9.53,5.31
36,Salalah,40,OM,1541825400,74,17.01,54.1,28.0,1.0
37,Ribeira Grande,36,PT,1541828464,94,38.52,-28.7,20.52,10.36
38,Alice Springs,0,AU,1541826000,12,-23.7,133.88,28.0,6.7
39,Jamestown,0,AU,1541828465,25,-33.21,138.6,25.42,3.28
40,Khatanga,36,RU,1541828465,84,71.98,102.47,-28.51,4.43
41,Provideniya,76,RU,1541828465,100,64.42,-173.23,3.37,5.33
42,Walvis Bay,90,NA,1541826000,93,-22.95,14.51,13.0,1.5
43,Maniitsoq,12,GL,1541828466,100,65.42,-52.9,-9.08,2.16
44,Barrow,100,AR,1541828466,92,-38.31,-60.23,18.67,1.23
45,Bredasdorp,0,ZA,1541826000,77,-34.53,20.04,19.0,4.1
